State,Year,Population,Rates-Burglary,Rates-Larceny,Rates-Motor,Rates-Assault,Rates-Murder,Rates-Rape,Rates-Robbery,Total-All,Total-Burglary,Total-Larceny,Totals-Motor,Total-All-V,Total-Assault,Total-Murder,Total-Rape,Total-Robbery
Arizona,2019,7278717,394.3,1796.9,249.4,311.9,5,50.3,88.1,177638,28699,130788,18151,33141,22704,365,3662,6410
Arkansas,2014,2966369,3338,835.7,2313.5,69.1,5.6,59.4,39.8,10265,99018,24790,68627,14243,2050,165,1763,1182
Arkansas,2015,2978204,3251.5,760.2,2297.5,70.4,6.1,64.8,43.7,11316,96836,22640,68424,15526,2098,181,1931,1300
Arkansas,2016,2988248,795.5,2233.6,239.4,401,7.2,71.7,70.9,97673,23771,66747,7155,16461,11982,216,2143,2120
Arkansas,2017,3004279,727.7,2109.5,241.4,413.6,8.6,68.3,64.4,92489,21862,63374,7253,16671,12425,258,2053,1935
Arkansas,2018,3013825,636.8,2040.2,236,410.7,7.2,72.9,52.9,87793,19193,61487,7113,16384,12378,216,2196,1594
Arkansas,2019,3017804,599.6,2012.6,245.9,447.8,8,77.2,51.6,86250,18095,60735,7420,17643,13513,242,2331,1557
California,2014,38802500,2441.1,522.3,1527.4,125.5,4.4,29.7,21.6,91803,947192,202670,592670,153709,48680,1699,11527,8398
California,2015,39144818,2618.3,504.3,1677.1,135,4.8,32.7,24,99349,1024914,197404,656517,166883,52862,1861,12811,9387
California,2016,39250017,479.8,1623,450.3,265.9,4.9,34.9,139.6,1002070,188304,637010,176756,174796,104375,1930,13702,54789
California,2017,39536653,446.9,1623.9,425.9,264.2,4.6,37.2,143.2,987114,176690,642033,168391,177627,104454,1830,14721,56622
California,2018,39557045,416.2,1571.8,392.4,266.5,4.4,39.2,137.3,941618,164632,621775,155211,176982,105412,1739,15505,54326
California,2019,39512223,386.1,1586.3,358.8,267.1,4.3,37.5,132.4,921114,152555,626802,141757,174331,105541,1690,14799,52301
Colorado,2014,5355866,2530.1,438.2,1857.1,56.7,2.8,56.7,39.6,10325,135510,23472,99464,16554,3039,151,3039,2121
Colorado,2015,5456574,2641.5,429.8,1918.5,60.9,3.2,59.7,43.6,10759,144136,23454,104682,17515,3323,176,3257,2377
Colorado,2016,5540545,431.4,1955.3,354,211.1,3.7,64.2,63.7,151850,23903,108336,19611,18983,11696,204,3555,3528
Colorado,2017,5607154,406.9,1904.9,389.9,226.9,3.9,68.8,68.4,151483,22813,106809,21861,20638,12721,221,3858,3838
Colorado,2018,5695564,375.2,1915.9,380.5,255.4,3.7,71.5,66.7,152163,21371,109119,21673,22624,14547,210,4070,3797
Colorado,2019,5758736,348.4,1858.3,384,246.3,3.8,67.2,63.6,149189,20064,107012,22113,21938,14185,218,3872,3663
Connecticut,2014,3596677,1920.4,332.4,1418.1,87.8,2.4,21.7,15.9,4495,69070,11955,51005,8522,3159,86,782,571
Connecticut,2015,3590886,1812,280,1355.5,80.5,3.3,21.5,16.2,4063,65066,10053,48675,7845,2892,117,773,582
Connecticut,2016,3576452,280.9,1328.5,198.7,128,2.2,21.3,75.6,64664,10045,47512,7107,8123,4579,78,763,2703
Connecticut,2017,3588184,247.8,1318.5,203.7,123.4,2.8,23.3,78.4,63509,8890,47310,7309,8180,4428,102,837,2813
Connecticut,2018,3572665,222.5,1251.8,206.7,120.2,2.3,23.5,61.4,60055,7948,44724,7383,7411,4294,83,840,2194
Connecticut,2019,3565287,180.7,1078.7,167.3,105,2.9,21.6,54.1,50862,6441,38457,5964,6546,3742,104,771,1929
Delaware,2014,935614,2982,616.5,2230.1,135.6,5.8,41.3,26.6,2867,27900,5768,20865,4576,1269,54,386,249
Delaware,2015,945934,2691,504.6,2061.6,130.6,6.7,36,25.7,3081,25455,4773,19501,4720,1235,63,341,243
Delaware,2016,952065,527.6,2078.7,159.7,327.8,5.9,32.4,142.7,26334,5023,19791,1520,4844,3121,56,308,1359
Delaware,2017,961939,412.7,1885.6,142.3,300.5,5.6,34.7,112.5,23477,3970,18138,1369,4361,2891,54,334,1082
Delaware,2018,967171,326.5,1845.3,152.6,294.2,5,34.9,89.5,22481,3158,17847,1476,4097,2845,48,338,866
Delaware,2019,973764,304.8,1782.7,164.7,304.7,4.9,31.8,81.1,21931,2968,17359,1604,4115,2967,48,310,790
District of Columbia,2014,658893,5182.5,526,4082.3,530.7,15.9,71.6,53.4,4125,34147,3466,26898,8199,3497,105,472,352
District of Columbia,2015,672228,4676.2,442,3748.7,556.7,24.1,73.5,54.4,4133,31435,2971,25200,8531,3742,162,494,366
District of Columbia,2016,681170,346.6,4019.8,436.5,596.5,20.4,78.1,510.9,32716,2361,27382,2973,8214,4063,139,532,3480
District of Columbia,2017,693972,260.7,3650.4,372.8,546.3,16.7,64,378,29729,1809,25333,2587,6974,3791,116,444,2623
District of Columbia,2018,702455,254.5,3750.1,369.1,565.3,22.8,64.1,343.8,30724,1788,26343,2593,6996,3971,160,450,2415
District of Columbia,2019,705749,261.1,3775.4,330.6,592.1,23.5,48.9,384.4,30821,1843,26645,2333,7403,4179,166,345,2713
Florida,2014,19893297,3415.5,719.9,2481.5,125.2,5.8,43,30.4,72895,679446,143220,493647,107521,24914,1149,8563,6051
Florida,2015,20271272,2813.2,539,2073.6,104.3,5.1,37.3,26.8,63895,570270,109268,420341,93626,21137,1041,7553,5430
Florida,2016,20612439,486.7,1990.8,209.3,290.2,5.4,36.9,97.9,553812,100325,410352,43135,88700,59816,1111,7598,20175
Florida,2017,20984400,423.4,1884.5,204.5,276.5,5,37.8,88.6,527220,88853,395453,42914,85625,58031,1057,7940,18597
Florida,2018,21299325,337.7,1750.8,193.3,260.8,5.2,39.6,79.3,486017,71933,372919,41165,81980,55551,1107,8438,16884
Florida,2019,21477737,295.2,1668.7,181.8,258.3,5.2,39.4,75.5,460846,63396,358402,39048,81270,55475,1122,8456,16217
Georgia,2014,10097343,3281.2,756.9,2258.4,123,5.7,30.2,21.4,22052,331316,76428,228034,38097,12417,580,3048,2159
Georgia,2015,10214860,3022.3,649.8,2113.3,119.9,6,31.6,22.5,22557,308723,66374,215867,38643,12247,615,3224,2296
Georgia,2016,10310371,614.4,2130.1,259.9,238.5,6.6,34,118.4,309770,63344,219625,26801,40990,24595,681,3509,12205
Georgia,2017,10429379,530.9,2077.4,251.8,228.1,6.7,26.1,96.3,298298,55374,216661,26263,37258,23793,703,2718,10044
Georgia,2018,10519475,431.3,1907,235.4,216.6,6.1,25.2,78.7,270738,45369,200609,24760,34355,22783,642,2651,8279
Georgia,2019,10617423,372.1,1779.8,223.9,232,6.2,27.5,75,252249,39506,188967,23776,36170,24633,654,2922,7961
Hawaii,2014,1419561,3050,547.9,2228.9,78,1.8,31.3,22.1,2102,43297,7778,31640,3680,1107,26,445,314
Hawaii,2015,1431603,3796.2,458,2934.5,84,1.3,39.2,27.9,2418,54346,6557,42010,4201,1203,19,561,400
Hawaii,2016,1428557,421.2,2175.8,395.8,193.8,2.5,43.3,69.6,42753,6017,31082,5654,4417,2769,35,619,994
Hawaii,2017,1427538,388.7,2071.7,369.1,132.7,2.7,39.7,75.4,40392,5549,29574,5269,3577,1894,39,567,1077
Hawaii,2018,1420491,396.4,2076.2,397.7,135.5,2.5,44,66.6,40772,5631,29492,5649,3532,1925,36,625,946
Hawaii,2019,1415872,377.2,2093,371.1,148.2,3.4,54,79.9,40228,5340,29634,5254,4042,2098,48,765,1131
Idaho,2014,1634464,1854.8,393.3,1359.9,12.5,2,37.3,28.6,2623,30316,6428,22227,3468,204,32,609,468
Idaho,2015,1654930,1743.8,370,1260.7,11.6,1.9,41.9,32.2,2650,28858,6124,20863,3568,192,32,694,533
Idaho,2016,1683140,375.4,1245.4,123.4,172,2.9,42.7,12.7,29357,6318,20962,2077,3876,2895,49,719,213
